period,Cat_A,date
Sep.T2 2025,119003,2025-09-15
Sep.T1,107889,2025-09-01
Aug.T2,104524,2025-08-15
Aug.T1,102009,2025-08-01
Jul.T2,101102,2025-07-15
Jul.T1,101102,2025-07-01
Jun.T2,98124,2025-06-15
Jun.T1,96999,2025-06-01
May.T2,102501,2025-05-15
May.T1,103009,2025-05-01
Apr.T2,99500,2025-04-15
Apr.T1,97724,2025-04-01
Mar.T2,94502,2025-03-15
Mar.T1,92730,2025-03-01
Feb.T2,92850,2025-02-15
Feb.T1,85000,2025-02-01
Jan.T2,93601,2025-01-15
Jan.T1,93699,2025-01-01
Dec.T2,96000,2024-12-15
Dec.T1,94000,2024-12-01
Nov.T2,89889,2024-11-15
Nov.T1,99889,2024-11-01
Oct.T2,102900,2024-10-15
Oct.T1,103799,2024-10-01
Sep.T2,98524,2024-09-15
Sep.T1,96490,2024-09-01
Aug.T2,93900,2024-08-15
Aug.T1,94289,2024-08-01
Jul.T2,91899,2024-07-15
Jul.T1,91001,2024-07-01
Jun.T2,90889,2024-06-15
Jun.T1,88200,2024-06-01
May.T2,92700,2024-05-15
May.T1,93604,2024-05-01
Apr.T2,94010,2024-04-15
Apr.T1,89000,2024-04-01
Mar.T2,85489,2024-03-15
Mar.T1,83000,2024-03-01
Feb.T2,76801,2024-02-15
Feb.T1,79000,2024-02-01
Jan.T2,81589,2024-01-15
Jan.T1,65010,2024-01-01
Dec.T2 2023,85000,2023-12-15
Dec.T1,88020,2023-12-01
Nov.T2,85001,2023-11-15
Nov.T1,95689,2023-11-01
Oct.T2,106000,2023-10-15
Oct.T1,104000,2023-10-01
Sep.T2,105000,2023-09-15
Sep.T1,101000,2023-09-01
Aug.T2,100000,2023-08-15
Aug.T1,99499,2023-08-01
Jul.T2,95202,2023-07-15
Jul.T1,97000,2023-07-01
Jun.T2,96206,2023-06-15
Jun.T1,98001,2023-06-01
May.T2,92000,2023-05-15
May.T1,101001,2023-05-01
Apr.T2,103721,2023-04-15
Apr.T1,96501,2023-04-01
Mar.T2,93503,2023-03-15
Mar.T1,87709,2023-03-01
Feb.T2,86556,2023-02-15
Feb.T1,86000,2023-02-01
Jan.T2,86000,2023-01-15
Jan.T1,80000,2023-01-01
Dec.T2 2022,88007,2022-12-15
Dec.T1,88503,2022-12-01
Nov.T2,90589,2022-11-15
Nov.T1,87235,2022-11-01
Oct.T2,81089,2022-10-15
Oct.T1,80501,2022-10-01
Sep.T2,84000,2022-09-15
Sep.T1,86000,2022-09-01
Aug.T2,87889,2022-08-15
Aug.T1,80000,2022-08-01
Jul.T2,78899,2022-07-15
Jul.T1,78001,2022-07-01
Jun.T2,74989,2022-06-15
Jun.T1,73801,2022-06-01
May.T2,68001,2022-05-15
May.T1,70901,2022-05-01
Apr.T2,68699,2022-04-15
Apr.T1,72996,2022-04-01
Mar.T2,71556,2022-03-15
Mar.T1,68501,2022-03-01
Feb.T2,63000,2022-02-15
Feb.T1,60761,2022-02-01
Jan.T2,57898,2022-01-15
Jan.T1,57599,2022-01-01
Dec.T2 2021,58801,2021-12-15
Dec.T1,57010,2021-12-01
Nov.T2,55001,2021-11-15
Nov.T1,53709,2021-11-01
Oct.T2,52709,2021-10-15
Oct.T1,47001,2021-10-01
Sep.T2,48000,2021-09-15
Sep.T1,47000,2021-09-01
Aug.T2,46689,2021-08-15
Aug.T1,45189,2021-08-01
Jul.T2,47010,2021-07-15
Jul.T1,45001,2021-07-01
Jun.T2,47821,2021-06-15
Jun.T1,48510,2021-06-01
May.T2,41801,2021-05-15
May.T1,48002,2021-05-01
Apr.T2,49640,2021-04-15
Apr.T1,45600,2021-04-01
Mar.T2,44589,2021-03-15
Mar.T1,41996,2021-03-01
Feb.T2,41001,2021-02-15
Feb.T1,42000,2021-02-01
Jan.T2,43501,2021-01-15
Jan.T1,40609,2021-01-01
Dec.T2 2020,40556,2020-12-15
Dec.T1,40714,2020-12-01
Nov.T2,37690,2020-11-15
Nov.T1,35990,2020-11-01
Oct.T2,37334,2020-10-15
Oct.T1,36534,2020-10-01
Sep.T2,38504,2020-09-15
Sep.T1,37766,2020-09-01
Aug.T2,35710,2020-08-15
Aug.T1,33000,2020-08-01
Jul.T2,32699,2020-07-15
Jul.T1,33520,2020-07-01
Mar.T2,31210,2020-03-15
Mar.T1,32699,2020-03-01
Feb.T2,32999,2020-02-15
Feb.T1,30010,2020-02-01
Jan.T2,35010,2020-01-15
Jan.T1,35320,2020-01-01
Dec.T2 2019,32889,2019-12-15
Dec.T1,33009,2019-12-01
Nov.T2,32000,2019-11-15
Nov.T1,30000,2019-11-01
Oct.T2,32309,2019-10-15
Oct.T1,34001,2019-10-01
Sep.T2,31759,2019-09-15
Sep.T1,31783,2019-09-01
Aug.T2,31917,2019-08-15
Aug.T1,32725,2019-08-01
Jul.T2,26667,2019-07-15
Jul.T1,28859,2019-07-01
Jun.T2,26999,2019-06-15
Jun.T1,30009,2019-06-01
May.T2,27000,2019-05-15
May.T1,36704,2019-05-01
Apr.T2,33199,2019-04-15
Apr.T1,29159,2019-04-01
Mar.T2,26659,2019-03-15
Mar.T1,26309,2019-03-01
Feb.T2,26301,2019-02-15
Feb.T1,25689,2019-02-01
Jan.T2,26170,2019-01-15
Jan.T1,25920,2019-01-01
Dec.T2 2018,25501,2018-12-15
Dec.T1,23568,2018-12-01
Nov.T2,25000,2018-11-15
Nov.T1,28199,2018-11-01
Oct.T2,25556,2018-10-15
Oct.T1,28457,2018-10-01
Sep.T2,28000,2018-09-15
Sep.T1,30209,2018-09-01
Aug.T2,31997,2018-08-15
Aug.T1,33798,2018-08-01
Jul.T2,32699,2018-07-15
Jul.T1,25000,2018-07-01
Jun.T2,34110,2018-06-15
Jun.T1,36426,2018-06-01
May.T2,38001,2018-05-15
May.T1,38941,2018-05-01
Apr.T2,38510,2018-04-15
Apr.T1,37000,2018-04-01
Mar.T2,38000,2018-03-15
Mar.T1,38830,2018-03-01
Feb.T2,36810,2018-02-15
Feb.T1,40000,2018-02-01
Jan.T2,36890,2018-01-15
Jan.T1,41400,2018-01-01
Dec.T2 2017,38200,2017-12-15
Dec.T1,42339,2017-12-01
Nov,46791,2017-11-01
Nov.T1,47112,2017-11-01
Oct.T2,41617,2017-10-15
Oct.T1,41761,2017-10-01
Sep.T2,42902,2017-09-15
Sep.T1.,36001,2017-09-01
Aug.T2,42900,2017-08-15
Aug.T1,46778,2017-08-01
Jul.T2,44002,2017-07-15
Jul.T1,42801,2017-07-01
Jun.T2,42801,2017-06-15
Jun.T1,45201,2017-06-01
May.T2,46489,2017-05-15
May.T1,51106,2017-05-01
Apr.T2,46489,2017-04-15
Apr.T1,52000,2017-04-01
Mar.T2,51765,2017-03-15
Mar,50789,2017-03-01
Feb.T2,49430,2017-02-15
Feb.T1,48401,2017-02-01
Jan.T2,50889,2017-01-15
